Date,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224
2014-11-11,,20,,,,20,,20,,,20,,20,,20,,,,,,20,20,,
2014-11-18,,40,,,,40,,40,,,40,,40,,40,,,,,,40,40,,
2014-11-26,,45,,,,45,,45,,,45,,45,,45,,,,,,45,45,,
2014-12-02,73.8,39.5,73.8,39.5,39.5,39.5,73.8,39.5,39.5,39.5,39.5,73.8,39.5,73.8,39.5,39.5,39.5,73.8,39.5,39.5,39.5,39.5,73.8,73.8
2014-12-10,,36,,,,36,,36,,,36,,36,,36,,,,,,36,36,,
2014-12-16,,32,,,,32,,32,,,32,,32,,32,,,,,,32,32,,
2014-12-23,,43,,,,43,,43,,,43,,43,,43,,,,,,43,43,,
2014-12-30,76,40,76,,,40,76,40,,,40,76,40,76,40,,,76,,,40,40,76,76
2015-01-06,,60,,,,60,,60,,,60,,60,,60,,,,,,60,60,,
2015-01-13,,43,,,,43,,43,,,43,,43,,43,,,,,,43,43,,
2015-01-20,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-27,,,,,,,,,,,,,,,,,,,,,,,,
2015-02-03,,,,,,,,,,,,,,,,,,,,,,,,
2015-02-12,0,0,0,0,0,0,40,40,40,40,40,40,0,0,0,0,0,0,40,40,40,40,40,40
2015-02-16,80,80,80,80,80,80,40,40,40,40,40,40,80,80,80,80,80,80,40,40,40,40,40,40
